ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
3,28800,1.2098422780257538e-11,2546940309109.9414,27723.5545811403,8.003851591209688e-19,1.910267858303651e-19,1.568798253737675e-20,509.4029911052659,1.5899919764737076e-19,2.1388728072140352e-20,600.9280744696125,7242.500284086802,42344139.41650991,36692.349717598685,1.4413123192636565,1.4580616396318276,1.1241673994327388,8
4,3600,1657312607834.0178,1210548825059.5417,302.86153063408665,1858.7099388963838,437.2319374025015,69.43461650373868,64.27584331546284,397.296615819288,50.52965851879286,48.67642855741737,3118.5232807487096,12801041.243008073,105324.74396010023,3.1961436053132632,3.2898782450965514,2.9752837362888176,1
4,7200,1186905603790.9912,1892067486190.0476,714.7899069150329,2831.589051062024,530.6488647246051,59.44581057143016,68.922563591041,390.7450717249166,50.15877896590582,65.22981040324191,5904.4957554413895,17737980.68078299,89373.29748866233,3.0390785384110637,2.6262571513932866,3.2367315026510335,2
4,10800,296468335589.4713,2878801992422.2915,2005.6672232637197,1562.6019285688901,518.6061888798209,53.400635683975956,85.24205831145984,411.02846036971386,53.949543585327035,92.7427473704035,8279.182087258432,31595480.683282644,64580.30170012615,3.2788962868346254,2.883005535377178,2.2006554673061047,3
4,14400,400402.34869163635,2480113956942.184,24340.759786843897,0.03041929531503957,0.009227042986581845,0.0010607780147028757,588.1561771490905,0.007806233973039269,7.760797866092713e-4,399.10714996511894,6544.896880352011,47645564.39170412,68015.7229910351,2.660177224272634,2.295610646465717,2.535915977765916,4
4,18000,5.867761345353446e-4,2299730867751.978,20773.891923754963,3.2619224035388684e-11,7.2472673729074675e-12,8.4151952394256e-13,544.1029157043736,7.29339120715591e-12,7.535872124343432e-13,443.3752781741284,11205.301275600623,31130052.786311265,50533.90943358332,1.9727512672472522,2.5347655011463646,1.6777257878911394,5
4,21600,1.8248494719069022e-11,2484949116060.114,20323.119216674444,1.2197904400423814e-18,2.656778593592436e-19,3.8869246941705683e-20,498.54840248948796,2.7945227120599625e-19,3.9130227341981553e-20,402.3655303800248,11142.929304710451,30152517.098312356,55340.304198160746,2.304960257954451,1.682752373651164,1.8013663695835553,6
4,25200,7.438478074297478e-12,2722283506713.197,21045.50878393391,6.3183779752728945e-19,1.24826733031457e-19,1.535825901025964e-20,524.9682290794028,8.915103944099591e-20,1.1209252228124515e-20,487.6743116059022,8868.350382581137,29117248.184961896,39505.89325887436,1.742372122004997,1.8874595742678277,1.6748452760864911,7
4,28800,-4.230967778938742e-12,2642452320208.7773,19585.228001590167,-2.118303358384224e-19,-5.801102049697204e-20,-8.315296204104022e-21,542.7913966506328,-6.229535176220295e-20,-7.749003473352147e-21,391.6512069757815,8300.592229317683,46982370.343731776,35437.892490907114,1.1332181707980813,1.3095202933128363,1.1741420454031575,8
5,3600,2205324852351.6597,1169311094952.69,331.8062444885239,2716.975545297238,621.4209571789257,71.54607986671498,73.79928656343732,727.6386277210621,86.16573431339661,96.01265720408198,3744.530023985105,12285873.074466763,106807.8202004724,3.3963066878678925,3.495029140790264,3.72135846859558,1
